ID,duration,wav,spk_id,wrd,lang
Baila_-_Alfonso_Lugo_0,2.558185941,jamendolyrics/Baila_-_Alfonso_Lugo_0.wav,Baila_-_Alfonso_Lugo_0_spanish,QUE BUENO QUE SWIPEASTE A LA DERECHA MAMA,es
Baila_-_Alfonso_Lugo_1,2.561088435000002,jamendolyrics/Baila_-_Alfonso_Lugo_1.wav,Baila_-_Alfonso_Lugo_1_spanish,PORQUE A ESTA NOCHE LE DAREMOS MOVIMIENTO,es
Baila_-_Alfonso_Lugo_2,2.403990929999999,jamendolyrics/Baila_-_Alfonso_Lugo_2.wav,Baila_-_Alfonso_Lugo_2_spanish,Q'UNO'O DOS TEQUILAS SOLO PA' CALENTAR,es
Baila_-_Alfonso_Lugo_3,2.5157369610000018,jamendolyrics/Baila_-_Alfonso_Lugo_3.wav,Baila_-_Alfonso_Lugo_3_spanish,MIRA QUE AQUI ESTAMOS PA' DISFRUTAR EL MOMENTO,es
Baila_-_Alfonso_Lugo_4,2.470748299999997,jamendolyrics/Baila_-_Alfonso_Lugo_4.wav,Baila_-_Alfonso_Lugo_4_spanish,SHOW ME WHAT YOU GOT OH BABY DANCE FOR ME Y ME DAS,es
Baila_-_Alfonso_Lugo_5,2.501133787000004,jamendolyrics/Baila_-_Alfonso_Lugo_5.wav,Baila_-_Alfonso_Lugo_5_spanish,TODA TU PASION Y TU SUDOR MAS VETE LENTO,es
Baila_-_Alfonso_Lugo_6,2.579229025,jamendolyrics/Baila_-_Alfonso_Lugo_6.wav,Baila_-_Alfonso_Lugo_6_spanish,QUE NO TENGO PRISA QUE ESTA NOCHE DA PA' MAS,es
Baila_-_Alfonso_Lugo_7,2.077278912000004,jamendolyrics/Baila_-_Alfonso_Lugo_7.wav,Baila_-_Alfonso_Lugo_7_spanish,MUÉVETE CERQUITA AQUI NO MAS,es
Baila_-_Alfonso_Lugo_8,5.2494331070000015,jamendolyrics/Baila_-_Alfonso_Lugo_8.wav,Baila_-_Alfonso_Lugo_8_spanish,BAILA BAILA HASTA QUE ME ENAMORES BABY TU,es
Baila_-_Alfonso_Lugo_9,5.327891157000003,jamendolyrics/Baila_-_Alfonso_Lugo_9.wav,Baila_-_Alfonso_Lugo_9_spanish,BAILA BAILA PROBARÉ TUS SABORES BABY TU,es
