ID,duration,wav,spk_id,wrd,lang
1002753_1,8.239999999999998,train/10/1002753_1.wav,1002753_1_es,POR QUÉ NO PUEDO OLVIDAR TU VOZ,es
1002753_2,6.640000000000004,train/10/1002753_2.wav,1002753_2_es,YA NO ESCUCHO YA NO SÉ QUIÉN SOY,es
1002753_3,3.0400000000000063,train/10/1002753_3.wav,1002753_3_es,NO LO SÉ,es
1002753_4,10.880000000000004,train/10/1002753_4.wav,1002753_4_es,RECORRIENDO EL MUNDO DETRÁS DE TI,es
1002753_5,10.0,train/10/1002753_5.wav,1002753_5_es,MAR Y TIERRA Y SIGO PERDIDO AQUÍ,es
1002753_6,4.47999999999999,train/10/1002753_6.wav,1002753_6_es,NO LO SÉ,es
1002753_7,9.440000000000012,train/10/1002753_7.wav,1002753_7_es,UNA HUELLA EN LA ARENA PARA QUÉ,es
1002753_8,9.439999999999998,train/10/1002753_8.wav,1002753_8_es,UNAS PALABRAS FRÍAS EN PAPEL,es
1002753_10,9.759999999999993,train/10/1002753_10.wav,1002753_10_es,POR QUÉ LA VIDA NO ME DEJA ATRÁS,es
1002753_11,9.52000000000001,train/10/1002753_11.wav,1002753_11_es,EN CUÁNTOS LUGARES TENGO QUE BUSCAR,es
1002753_12,5.039999999999992,train/10/1002753_12.wav,1002753_12_es,NO LO SÉ,es
1002753_13,10.159999999999997,train/10/1002753_13.wav,1002753_13_es,UNA HUELLA EN LA ARENA PARA QUÉ,es
1002753_14,10.0,train/10/1002753_14.wav,1002753_14_es,UNAS PALABRAS FRÍAS EN PAPEL,es
1002753_15,10.0,train/10/1002753_15.wav,1002753_15_es,VOY RECOGIENDO RASTROS EN MI CORAZÓN,es
1002753_16,10.0,train/10/1002753_16.wav,1002753_16_es,VOY REPITIENDO PASOS Y NO HAY RAZÓN,es
1002753_18,4.799999999999983,train/10/1002753_18.wav,1002753_18_es,VOY REPITIENDO PASOS,es
1002753_20,4.0,train/10/1002753_20.wav,1002753_20_es,Y NO HAY RAZÓN,es
1012592_0,11.8,train/10/1012592_0.wav,1012592_0_es,LA PRODUCCIÓN NO PARA SUELTA LA MAGIA DE SER UN ENDULZOR CON SOLO IDEAS,es
1012592_1,2.3199999999999985,train/10/1012592_1.wav,1012592_1_es,QUE MARCA LA FUERZA UNIDA TUMBABLES CON LA MISMA CINTA,es
1012592_2,3.0000000000000018,train/10/1012592_2.wav,1012592_2_es,MADERA DE JOSÉ LA HORA DEL JUICIO HOY HA LLEGADO,es
1012592_3,2.68,train/10/1012592_3.wav,1012592_3_es,SOLO CON ESO SACAMOS EL FUEGO DEL SANGRE ACUMULADO,es
1012592_4,5.16,train/10/1012592_4.wav,1012592_4_es,MACPRODUCCIONES MANIACOS MAS GRANDES PABCAO UNDERGROUND EN UN PUNTO DE BULLECIÓN,es
1012592_5,2.68,train/10/1012592_5.wav,1012592_5_es,ME IMPORTA QUE SIGAN HABLANDO YO SIGO VOTANDO MI GUARDIA,es
1012592_6,2.5599999999999987,train/10/1012592_6.wav,1012592_6_es,ESTILO DE VIDA QUE MARCA LA CIENCIA GESTANDO PROTESTOS DE MEDIOS ABIERTOS,es
1012592_7,3.320000000000004,train/10/1012592_7.wav,1012592_7_es,VARIANDO IDEAS PARA QUE CAMBIE LAS ARMAS POR PALABRAS MAS PESADAS,es
1012592_8,4.559999999999995,train/10/1012592_8.wav,1012592_8_es,LA BANDA ME ACOMPAÑA SOBRE EL BEAT EN CADA OCASIÓN HACEMOS EXPLOSIÓN,es
1012592_9,3.0,train/10/1012592_9.wav,1012592_9_es,WE ARE THE FUTURE WE PLAY MUSIC FOR MY PEOPLE NOT THAT ONE,es
1012592_10,3.640000000000001,train/10/1012592_10.wav,1012592_10_es,YEPA PARA LA ESCUELA CON EL SHOW COLUMBO FRANCIA AVANZA PUTO DE MARCHA,es
1012592_11,2.6000000000000014,train/10/1012592_11.wav,1012592_11_es,DOBLE CIELO DEJANDO LA MARCA SIEMBRA UNA UNIÓN,es
1012592_12,4.080000000000005,train/10/1012592_12.wav,1012592_12_es,SABERES DE UNA RAZA DE HACER VALER LA CASA,es
1012592_13,20.84,train/10/1012592_13.wav,1012592_13_es,EL MUNDO EN CONTRA DEL MOVIMIENTO,es
1012592_14,4.040000000000006,train/10/1012592_14.wav,1012592_14_es,LA MESA EN EL PALCO EL OTRO EN EL ESTILO LA REVOLUCIÓN EN FRANCIA,es
1012592_15,4.719999999999999,train/10/1012592_15.wav,1012592_15_es,CRECIENDO LOS ESPÍRITUS SE PIERDEN MOMENTOS DE DIFICULTADES NOS AYUDAN A NOS DEFENDERNOS,es
1012592_16,2.8400000000000034,train/10/1012592_16.wav,1012592_16_es,SIN PENSAR EN PIEDRAS LA REVOLUCIÓN SE LANZÓ,es
1012592_17,4.0,train/10/1012592_17.wav,1012592_17_es,EN CADA CONTINENTE VEMOS QUE NUESTROS DESTINOS SON MAYORITARIAMENTE LIGADOS,es
1012592_18,2.8799999999999955,train/10/1012592_18.wav,1012592_18_es,QUE LAS ARMAS SE LANZARON A NOSOTROS DE LUCHAR A NOSOTROS DE LUCHAR,es
1012592_19,2.4399999999999977,train/10/1012592_19.wav,1012592_19_es,A CAZAR ESTOS ESPÍRITUS MALOS A CAZAR,es
1012592_20,2.280000000000001,train/10/1012592_20.wav,1012592_20_es,TODOS ESTOS GENTE QUE DICEN GOBERNAR POR NUESTRO BIEN,es
1012592_21,2.5600000000000023,train/10/1012592_21.wav,1012592_21_es,PERO NO GOBERNAMOS EN REALIDAD SOLO POR LOS NUESTROS,es
1012592_22,3.0,train/10/1012592_22.wav,1012592_22_es,ESO NUNCA CAMBIARÁ NADA PENSAR EN EL PUEBLO NO ES PARA ELLOS,es
1012592_23,3.0,train/10/1012592_23.wav,1012592_23_es,QUE UNA ENORME ILUSIÓN AHORA MISMO LOS ESPÍRITUS DEL MAL,es
