ID,duration,wav,spk_id,wrd,lang
1012435_0,16.240000000000002,train/10/1012435_0.wav,1012435_0_it,TRENT RIMASE IN PIEDI DAVANTI ALLO STRAPPO CON LO SGUARDO PERDUTO NELL'ABISSO SENZA,it
1012435_1,5.799999999999997,train/10/1012435_1.wav,1012435_1_it,LIMITI DELL'IGNOTO NELLA PALUDE STIGIA CHE SI ESTENDEVA DALL'ALTRA PARTE,it
1012435_2,7.920000000000002,train/10/1012435_2.wav,1012435_2_it,I SUOI OCCHI RIFIUTARONO DI CHIUDERSI E NON GRIDÒ MA LE CREATURE ORRENDE E ABOMINEVOLI,it
1012435_3,7.019999999999996,train/10/1012435_3.wav,1012435_3_it,GRIDARONO PER LUI NEL MOMENTO IN CUI LE VIDE AVVICINARSI E USCIRE AFFROTTE DA QUEL POZZO,it
1012435_4,6.160000000000004,train/10/1012435_4.wav,1012435_4_it,NERO DI TENEBRE CON L'ACCECANTE BAGLIORE DELLE OSSA CONSUMATE DA INNUMEREVOLI SECOLI,it
1012435_5,1.0,train/10/1012435_5.wav,1012435_5_it,DI MALEDIZIONE,it
1012435_6,7.799999999999997,train/10/1012435_6.wav,1012435_6_it,COMINCIÒ AD ALLONTANARSI DALLO STRAPPO MENTRE QUELLA MOLTITUDINE MORTA ILLUMINATA DAL BAGLIORE,it
1012435_7,5.320000000000007,train/10/1012435_7.wav,1012435_7_it,CHE VENIVA DAL POZZO SENZA FONDO MARCIAVA VERSO DI LUI E VERSO IL NOSTRO MONDO,it
1016728_0,13.64,train/10/1016728_0.wav,1016728_0_it,ORA CHI SEI,it
1016728_1,2.640000000000001,train/10/1016728_1.wav,1016728_1_it,COSA LE FAI,it
1016728_2,8.879999999999999,train/10/1016728_2.wav,1016728_2_it,PORTALA VIA FA CHE SIA TUA MA NON DIRLA DELLE MAGIE CHE FAI,it
1016728_3,17.999999999999996,train/10/1016728_3.wav,1016728_3_it,DICE DI TE CHE TEMERAI MA È SOLO UNA SCIA TALE ASTESIA CHE IL TEMPO CANCELLERÀ,it
1016728_4,1.0,train/10/1016728_4.wav,1016728_4_it,LO SAI,it
1016728_5,27.32,train/10/1016728_5.wav,1016728_5_it,LO SPETTACOLO INIZIA GIÀ LA MEDIA SFIORA O LA SUA PELLE È UMIDA,it
1016728_6,16.560000000000002,train/10/1016728_6.wav,1016728_6_it,QUALCHE SOSPIRO E POI SI APRIRÀ LA SCATOLA E DI NUOVO PER MAGIA,it
1016728_7,24.0,train/10/1016728_7.wav,1016728_7_it,C'È LEI SEMPRE LEI E OGNI VOLTA MUOIO UN PO',it
1016728_8,21.760000000000005,train/10/1016728_8.wav,1016728_8_it,MAGO IN AMORE COM'È SAI FARE SOLO TU MAGO DI VANITÀ OGNI VOLTA CHE APRIRAI QUELLA,it
1016728_10,16.0,train/10/1016728_10.wav,1016728_10_it,' LEI SEMPRE LEI E OGNI VOLTA MUOIO UN PO',it
1016728_13,21.0,train/10/1016728_13.wav,1016728_13_it,GIORNO ARRIVERÀ LEI CAPIRÀ QUEL GIORNO LA VERA MAGIA È STATA LA SUA,it
1016728_14,15.0,train/10/1016728_14.wav,1016728_14_it,IL PUBBLICO MORMORERÀ TU RIDERAI E LEI SPARIRÀ PER SEMPRE,it
1016729_0,20.8,train/10/1016729_0.wav,1016729_0_it,C'È UNA TRISTEZZA IN QUEST'ARIA PIENA DI COSE,it
1016729_1,9.599999999999998,train/10/1016729_1.wav,1016729_1_it,CHE INFETTA LE ULTIME ENERGIE RIMASTE MIE,it
1016729_2,6.720000000000006,train/10/1016729_2.wav,1016729_2_it,FORSE SE SPARISSERO TUTTI GLI OGGETTI,it
1016729_3,10.159999999999997,train/10/1016729_3.wav,1016729_3_it,L'ARIA SAREBBE DIVERSA COME AL MARE,it
1016729_4,6.719999999999999,train/10/1016729_4.wav,1016729_4_it,COME AL MARE,it
1016729_5,4.960000000000001,train/10/1016729_5.wav,1016729_5_it,COME AL MARE,it
1016729_6,20.32,train/10/1016729_6.wav,1016729_6_it,DOVE LA NATURA SI BEFFA DEI MIEI DOLORI E MI CONVINCE DELLA LUMINOSITÀ DELL'ESSERCI,it
1016729_7,11.28,train/10/1016729_7.wav,1016729_7_it,E ALLORA TRASFORMO IL NORMALE E IL MONDO PIENO DI COSE,it
